Family,SpeciesName,WoodDensity
Leguminosae,Abarema jupunba,0.6
Leguminosae,Abarema jupunba,0.54
Pinaceae,Abies alba,0.41
Pinaceae,Abies alba,0.45
Pinaceae,Abies alba,0.4
Pinaceae,Abies alba,0.36
Anacardiaceae,Abrahamia ditimena,0.64
Anacardiaceae,Abrahamia ditimena,0.66
Leguminosae,Acacia elata,0.49
Leguminosae,Acacia elata,0.49
Leguminosae,Acacia elata,0.52
Leguminosae,Acacia heterophylla,0.5
Leguminosae,Acacia mangium,0.55
Leguminosae,Acacia shirleyi,1
Leguminosae,Acacia shirleyi,0.94
Podocarpaceae,Afrocarpus mannii,0.41
Podocarpaceae,Afrocarpus mannii,0.37
Podocarpaceae,Afrocarpus mannii,0.36
Leguminosae,Afzelia africana,0.73
Leguminosae,Afzelia africana,0.64
Leguminosae,Afzelia africana,0.69
Leguminosae,Afzelia africana,0.67
Leguminosae,Afzelia africana,0.69
Leguminosae,Afzelia africana,0.69
Leguminosae,Afzelia bella,0.61
Leguminosae,Afzelia bipindensis,0.64
Leguminosae,Afzelia bipindensis,0.69
Leguminosae,Afzelia bipindensis,0.71
Leguminosae,Afzelia bipindensis,0.74
Leguminosae,Afzelia bipindensis,0.8
Leguminosae,Afzelia bipindensis,0.7
Leguminosae,Afzelia bipindensis,0.72
Leguminosae,Afzelia bipindensis,0.74
Leguminosae,Afzelia pachyloba,0.62
Leguminosae,Afzelia pachyloba,0.64
Leguminosae,Afzelia pachyloba,0.65
Araucariaceae,Agathis dammara,0.44
Araucariaceae,Agathis lanceolata,0.48
Araucariaceae,Agathis lanceolata,0.48
Araucariaceae,Agathis lanceolata,0.43
Araucariaceae,Agathis macrophylla,0.46
Araucariaceae,Agathis moorei,0.5
Araucariaceae,Agathis moorei,0.39
Araucariaceae,Agathis moorei,0.44
Araucariaceae,Agathis moorei,0.36
Araucariaceae,Agathis moorei,0.43
Leguminosae,Albizia adianthifolia,0.44
Leguminosae,Albizia adianthifolia,0.46
Leguminosae,Albizia ferruginea,0.51
Leguminosae,Albizia ferruginea,0.49
Leguminosae,Albizia ferruginea,0.54
Leguminosae,Albizia ferruginea,0.43
Leguminosae,Albizia ferruginea,0.52
Leguminosae,Albizia ferruginea,0.51
Leguminosae,Albizia ferruginea,0.55
Leguminosae,Albizia gummifera,0.49
Leguminosae,Albizia lebbeck,0.56
Leguminosae,Albizia lebbeck,0.55
Leguminosae,Albizia lebbeck,0.56
Leguminosae,Albizia pedicellaris,0.55
Leguminosae,Albizia pedicellaris,0.58
Leguminosae,Albizia pedicellaris,0.44
Leguminosae,Albizia pedicellaris,0.48
Leguminosae,Albizia pedicellaris,0.52
Leguminosae,Albizia pedicellaris,0.5
Leguminosae,Albizia pedicellaris,0.52
Leguminosae,Albizia pedicellaris,0.5
Leguminosae,Albizia pedicellaris,0.51
Leguminosae,Albizia saman,0.48
Leguminosae,Albizia sp,0.48
Leguminosae,Albizia sp,0.54
Leguminosae,Albizia zygia,0.42
Leguminosae,Aldina heterophylla,0.79
Leguminosae,Aldina heterophylla,0.73
Leguminosae,Aldina heterophylla,0.69
Leguminosae,Aldina heterophylla,0.69
Leguminosae,Aldina heterophylla,0.76
Euphorbiaceae,Aleurites moluccanus,0.34
Euphorbiaceae,Aleurites moluccanus,0.33
Euphorbiaceae,Aleurites moluccanus,0.35
Leguminosae,Alexa grandiflora,0.75
Leguminosae,Alexa grandiflora,0.66
Leguminosae,Alexa grandiflora,0.59
Leguminosae,Alexa grandiflora,0.58
Leguminosae,Alexa grandiflora,0.54
Leguminosae,Alexa grandiflora,0.56
Clusiaceae,Allanblackia floribunda,0.55
Clusiaceae,Allanblackia floribunda,0.55
Clusiaceae,Allanblackia staneriana,0.56
Lecythidaceae,Allantoma integrifolia,0.55
Lecythidaceae,Allantoma integrifolia,0.53
Sapindaceae,Allophylus cobbe,0.63
Sapindaceae,Allophylus cobbe,0.55
Didiereaceae,Alluaudia procera,0.36
Didiereaceae,Alluaudia procera,0.37
Didiereaceae,Alluaudia procera,0.4
Didiereaceae,Alluaudia procera,0.36
Didiereaceae,Alluaudia procera,0.34
Rhamnaceae,Alphitonia neocaledonica,0.58
Apocynaceae,Alstonia boonei,0.29
Apocynaceae,Alstonia boonei,0.31
Apocynaceae,Alstonia boonei,0.3
Phyllanthaceae,Amanoa caribaea,0.93
Phyllanthaceae,Amanoa caribaea,0.9
Phyllanthaceae,Amanoa caribaea,0.91
Phyllanthaceae,Amanoa caribaea,0.86
Phyllanthaceae,Amanoa caribaea,0.88
Leguminosae,Amburana cearensis,0.46
Leguminosae,Amburana cearensis,0.56
Leguminosae,Amburana cearensis,0.55
Leguminosae,Amburana cearensis,0.45
Leguminosae,Amburana cearensis,0.47
Leguminosae,Amburana cearensis,0.51
Leguminosae,Amburana cearensis,0.52
Leguminosae,Amburana cearensis,0.41
Leguminosae,Amburana cearensis,0.53
Leguminosae,Amburana cearensis,0.47
Leguminosae,Amburana cearensis,0.54
Leguminosae,Amburana cearensis,0.5
Leguminosae,Amburana cearensis,0.55
Leguminosae,Amburana cearensis,0.51
