Family,SpeciesName,WoodDensity,Lat
Styracaceae,Melliodendron xylocarpum,0.486,24.7
Styracaceae,Huodendron biaristatum,0.69,24.7
Styracaceae,Styrax suberifolius,0.436,21.5
Styracaceae,Pterostyrax corymbosa,0.489,32
Symplocaceae,Symplocos caudata,0.668,20.1
Symplocaceae,Symplocos lancifolia,0.546,18.7
Symplocaceae,Symplocos anomala,0.55,20.1
Symplocaceae,Symplocos cochinchinensis,0.626,18.7
Taxaceae,Taxus cuspidata,0.55,32.4
Taxaceae,Taxus chinensis,0.761,32.4
Taxaceae,Amentotaxus argotaenia,0.748,25.3
Theaceae,Ternstroemia gymnonthera,0.723,25.9
Theaceae,Adinandra hainanensis,0.581,18.7
Theaceae,Adinandra millettii,0.548,23.5
Theaceae,Stewartia sinensis,0.705,26.7
Theaceae,Schima superba,0.638,26.65
Theaceae,Schima wallichii,0.694,22
Theaceae,Schima argentea,0.667,30.4
Theaceae,Cleyera japonica,0.623,20.1
Theaceae,Parapyrenaria multisepala,0.7,18.7
Theaceae,Gordonia hainanensis,0.779,18.7
Theaceae,Anneslea fragrans,0.809,20.1
Theaceae,Hartia kwangtungensis,0.82,24.9
Theaceae,Adinandra acutifolia,0.73,24.9
Ulmaceae,Gironniera subaequalis,0.544,18.7
Ulmaceae,Zelkova schneideriana,0.791,32.3
Ulmaceae,Pteroceltis tatarinowii,0.81,32.3
Ulmaceae,Ulmus tonkinsensis,0.963,21.5
Ulmaceae,Ulmus laciniata,0.51,47.75
Ulmaceae,Ulmus davidiana var.japonica,0.59,47.75
Ulmaceae,Ulmus pumila,0.639,33.5
Ulmaceae,Ulmus macrocarpa,0.667,34.3
Ulmaceae,Aphananthe aspera,0.647,29.9
Ulmaceae,Ulmus parviflora,0.898,30.2
