Family,SpeciesName,WoodDensity
NA,Polyscias fulva,0.37
NA,Pteleopsis myrtifolia,0.801
NA,Syzygium cumini,0.705
NA,Artocarpus heterophyllus,0.63
NA,Olea capensis,0.753
NA,Bombax rhodognaphalon,0.481
NA,Baphia kirkii,1.282
NA,Ekebergia capensis,0.609
NA,Croton macrostachys,0.545
NA,Artocarpus heterophyllus,0.5
NA,Agathis moorei,0.51
NA,Agathis obtusa,0.55
NA,Albizia adianthifolia,0.52
NA,Albizia adianthifolia,0.55
NA,Albizia ferruginea,0.59
NA,Albizia ferruginea,0.6
NA,Albizia ferruginea,0.64
NA,Albizia ferruginea,0.64
NA,Chukrasia tabularis,0.487
NA,Dysoxylum binectariferum,0.725
NA,Pterospermum heterophyllum,0.61
NA,Aglaia annamensis,0.877
NA,Heriteria javanica,0.679
NA,Pterospermum grewiifolium,0.278
NA,Michelia balansae,0.559
NA,Michelia mediocris,0.397
NA,Eucalyptus maculata,1
NA,Ilex mitis,0.641
NA,Celtis mildbraedii,0.705
NA,Antiaris toxicaria,0.449
NA,Olea africana,1.169
NA,Acacia nigrescens,1.121
NA,Allanblackia stuhlmannii,0.689
NA,Beilschmiedia kweo,0.657
NA,Heritiera littoralis,0.913
NA,Heritiera littoralis,0.865
NA,Cocos nucifera,0.427
NA,Cocos nucifera,0.601
NA,Terminalia superba,0.545
NA,Faidherbia albida,0.641
NA,Pinus radiata,0.59
NA,Mallotus cochinchinensis,0.331
NA,Borassus aethiopum,0.85
NA,Pseudolachnostylis maprouneifolia,0.876
NA,Afzelia quanzensis,0.832
NA,Zanthoxylum gillettii,0.545
NA,Macaranga indica,0.345
NA,Zanha africana,0.801
NA,Afzelia quanzensis,0.83
NA,Isoberlinia scheffleri,0.801
NA,Cephalosphaera usambarensis,0.593
NA,Cephalosphaera usambarensis,0.56
NA,Tamarindus indica,0.865
NA,Celtis zenkeri,0.721
NA,Lovoa brownii,0
NA,Aporosa unknown,0.64
NA,Shorea obtusa,0.784
NA,Terminalia corticosa,0.777
NA,Terminalia alata,0.753
NA,Parinari anamensis,0.536
NA,Pentacme siamensis,0.609
NA,Dipterocarpus tuberculatus,0.636
NA,Dipterocarpus obtusifolius,0.641
NA,Dillenia unknown,0.7
NA,Hallea rubrostipulata,0.641
NA,Olea hochstetteri,0.881
NA,Olea welwitschii,0.753
NA,Millettia stuhlmannii,0.897
NA,Millettia stuhlmannii,0.897
NA,Entandrophragma excelsum,0.465
NA,Cordyla africana,0.865
NA,Hagenia abyssinica,0.689
NA,Diospyros mespiliformis,8.001
NA,Sclerocarya birrea,0
NA,Podocarpus gracilior,0.513
NA,Acacia melanoxylon,0.689
NA,Tectona grandis,0.625
NA,Chrysophyllum perpulchrum,0.689
NA,Olea europea,1.169
NA,Afzelia quanzensis,0.83
NA,Melia unknown,0.256
NA,Vitex doniana,0.481
NA,Adenia microcephala,0.881
NA,Sandoricum koetjape,0.666
NA,Terminalia superba,0.55
NA,Pouteria adolfi-friedericii,0
NA,Eucalyptus botryoides,0.779
NA,Hydnocarpus kurzii,0.422
