Family,SpeciesName,WoodDensity
NA,Acacia catechu,0.88
NA,Acacia confusa,0.75
NA,Acacia leucophloea,0.76
NA,Acacia richii,0.69
NA,Adina cordifolia,0.58
NA,Adina cordifolia,0.59
NA,Aegle marmelo,0.75
NA,Agathis dammara,0.41
NA,Agathis spp.,0.44
NA,Agathis vitiensis,0.45
NA,Aglaia diffusa,0.7
NA,Aglaia iloilo,0.53
NA,Aglaia llanosiana,0.89
NA,Alangium longiflorum,0.65
NA,Alangium meyeri,0.63
NA,Albizzia falcataria,0.25
NA,Albizzia lebbek,0.55
NA,Albizzia lebbek,0.66
NA,Albizzia odoratissima,0.76
NA,Albizzia procera,0.59
NA,Aleurites moluccana,0.25
NA,Aleurites trisperma,0.43
NA,Alnus japonica,0.43
NA,Alphitonia philippinensis,0.4
NA,Alphitonia zizyphoides,0.5
NA,Alphonsea arborea,0.69
NA,Alseodaphne longipes,0.49
NA,Alstonia macrophylla,0.62
NA,Alstonia scholaris,0.36
NA,Alstonia spp.,0.37
NA,Amoora aherniana,0.58
NA,Amoora macrocarpa,0.55
NA,Amoora spp.,0.6
NA,Anisoptera aurea,0.53
NA,Anisoptera spp.,0.54
NA,Anisoptera thurifera,0.54
NA,Anogeissus latifolia,0.78
NA,Anogeissus latifolia,0.79
NA,Anthocephalus chinensis,0.36
NA,Anthocephalus chinensis,0.33
NA,Antidesma pleuricum,0.59
NA,Aphanamixis cumingiana,0.58
NA,Aphanamixis perrottetiana,0.52
NA,Araucaria bidwillii,0.43
NA,Artocarpus blancoi,0.43
NA,Artocarpus heterophylla,0.6
NA,Artocarpus ovata,0.47
NA,Artocarpus spp.,0.58
NA,Azadirachta indica,0.69
NA,Azadirachta spp.,0.52
NA,Balanocarpus spp.,0.76
NA,Barringtonia edulis,0.48
NA,Bauhinia spp.,0.67
NA,Beilschmiedia tawa,0.58
NA,Bischofia javanica,0.54
NA,Bischofia javanica,0.58
NA,Bischofia javanica,0.62
NA,Bleasdalea vitiensis,0.43
NA,Bombax ceiba,0.33
NA,Bombycidendron vidalianum,0.53
NA,Boswellia serrata,0.5
