Family,SpeciesName,WoodDensity
Fabaceae,Acacia lasiocalyx,0.684
Fabaceae,Acacia leucophloea,0.45
Fabaceae,Acacia longifolia,0.51
Fabaceae,Acacia maconochieana,0.8
Fabaceae,Acacia maconochieana,0.801
Fabaceae,Acacia macracantha,0.73
Fabaceae,Acacia maidenii,0.62
Fabaceae,Acacia mangium,0.448
Fabaceae,Acacia mangium,0.474
Fabaceae,Acacia mangium,0.519
Fabaceae,Acacia mangium,0.474
Fabaceae,Acacia mangium,0.594
Fabaceae,Acacia mangium,0.49
Fabaceae,Acacia mangium,0.55
Fabaceae,Acacia mayana,0.73
Fabaceae,Acacia mearnsii,0.671
Fabaceae,Acacia mearnsii,0.65
Fabaceae,Acacia mearnsii,0.658
Fabaceae,Acacia melanoxylon,0.568
Fabaceae,Acacia melanoxylon,0.57
Fabaceae,Acacia melanoxylon,0.389
Fabaceae,Acacia melanoxylon,0.416
Fabaceae,Acacia melanoxylon,0.637
Fabaceae,Acacia melanoxylon,0.555
Fabaceae,Acacia melanoxylon,0.559
Fabaceae,Acacia melanoxylon,0.551
Fabaceae,Acacia mellifera,0.947
Fabaceae,Acacia modesta,0.835
Fabaceae,Acacia murrayana,0.519
Fabaceae,Acacia nilotica,0.654
Fabaceae,Acacia nilotica,0.689
Fabaceae,Acacia nilotica,0.827
Fabaceae,Acacia omalophylla,1.063
Fabaceae,Acacia omalophylla,1.063
Fabaceae,Acacia oraria,0.92
Fabaceae,Acacia oshanesii,0.771
Fabaceae,Acacia oshanesii,0.771
Fabaceae,Acacia oswaldii,0.976
Fabaceae,Acacia pachycarpa,0.87
Fabaceae,Acacia pallidifolia,0.68
Fabaceae,Acacia papyrocarpa,1.073
Fabaceae,Acacia papyrocarpa,0.887
Fabaceae,Acacia papyrocarpa,0.966
Fabaceae,Acacia pellita,0.67
Fabaceae,Acacia pendula,0.994
Fabaceae,Acacia penninervis,0.605
Fabaceae,Acacia penninervis,0.668
Fabaceae,Acacia peuce,1.227
Fabaceae,Acacia podalyriifolia,0.68
Fabaceae,Acacia polyacantha,0.671
Fabaceae,Acacia polyacantha,0.607
Fabaceae,Acacia polyphylla,0.79
Fabaceae,Acacia polyphylla,0.637
Fabaceae,Acacia polyphylla,0.6
Fabaceae,Acacia polyphylla,0.49
Fabaceae,Acacia praecox,0.765
Fabaceae,Acacia pruinocarpa,0.981
Fabaceae,Acacia pruinocarpa,0.897
Fabaceae,Acacia pubescens,0.6
Fabaceae,Acacia pubescens,0.587
Fabaceae,Acacia pubescens,0.664
Fabaceae,Acacia quadrimarginea,0.922
Fabaceae,Acacia ramulosa,1.007
Fabaceae,Acacia resinimarginea,0.996
Fabaceae,Acacia rhodoxylon,1.102
Fabaceae,Acacia richii,0.7
Fabaceae,Acacia robusta,0.732
Fabaceae,Acacia salicina,0.581
Fabaceae,Acacia sclerosperma,0.86
Fabaceae,Acacia shirleyi,1.02
Fabaceae,Acacia shirleyi,1
Fabaceae,Acacia shirleyi,0.856
Fabaceae,Acacia shirleyi,0.904
Fabaceae,Acacia sibilans,0.97
Fabaceae,Acacia spectabilis,0.766
Fabaceae,Acacia stenophylla,0.775
Fabaceae,Acacia stenophylla,0.827
Fabaceae,Acacia stenophylla,0.69
Fabaceae,Acacia stipuligera,0.81
Fabaceae,Acacia subtessarogona,1.097
Fabaceae,Acacia suma,1.21
Fabaceae,Acacia tenuifolia,0.49
Fabaceae,Acacia tetragonophylla,0.874
Fabaceae,Acacia tetragonophylla,1.002
Fabaceae,Acacia tomentosa,0.51
Fabaceae,Acacia trinervata,0.758
Fabaceae,Acacia tucumanensis,0.63
Fabaceae,Acacia victoriae,0.692
Fabaceae,Acacia visco,0.688
Fabaceae,Acacia xanthophloea,0.758
Fabaceae,Acacia xiphophylla,1.137
Euphorbiaceae,Acalypha caturus,0.3
Santalaceae,Acanthosyris falcata,0.645
Santalaceae,Acanthosyris falcata,0.646
Santalaceae,Acanthosyris glabrata,0.6
Myrtaceae,Acca sellowiana,0.75
Sapindaceae,Acer buergerianum,0.62
Sapindaceae,Acer caesium,0.499
Sapindaceae,Acer campbellii,0.499
Sapindaceae,Acer campestre,0.525
Sapindaceae,Acer catalpifolium,0.45
Sapindaceae,Acer cultratum,0.55
Sapindaceae,Acer davidii,0.472
Sapindaceae,Acer davidii,0.444
Sapindaceae,Acer decandrum,0.574
Sapindaceae,Acer decandrum,0.68
Sapindaceae,Acer decandrum,0.62
Sapindaceae,Acer decandrum,0.608
Sapindaceae,Acer decandrum,0.75
Sapindaceae,Acer laurinum,0.43
Sapindaceae,Acer macrophyllum,0.44
Sapindaceae,Acer mandshuricum,0.585
Sapindaceae,Acer mono,0.61
Sapindaceae,Acer mono,0.715
Sapindaceae,Acer mono,0.564
Sapindaceae,Acer mono,0.668
Sapindaceae,Acer negundo,0.416
Sapindaceae,Acer nigrum,0.52
Sapindaceae,Acer niveum,0.53
Sapindaceae,Acer oblongum,0.603
Sapindaceae,Acer pennsylvanicum,0.44
Sapindaceae,Acer pensylvanicum,0.44
Sapindaceae,Acer pictum,0.629
Sapindaceae,Acer platanoides,0.508
Sapindaceae,Acer platanoides,0.525
Sapindaceae,Acer pseudoplatanus,0.508
Sapindaceae,Acer pseudoplatanus,0.51
Sapindaceae,Acer rubrum,0.49
Sapindaceae,Acer saccharinum,0.44
