"","variable","relative_importance","scaled_importance","percentage"
"1","CHELSA_Annual_Mean_Temperature",1797.72119140625,1,0.488248972169589
"2","SoilMoisture",651.485229492188,0.362395032448035,0.176939002112118
"3","cnRatio",425.555328369141,0.236719314654267,0.115577962072636
"4","ForestAge",256.218231201172,0.142523897713387,0.0695871465681647
"5","Lai",231.05647277832,0.128527423430759,0.0627533823856739
"6","Human_Disturbance",187.104049682617,0.104078458092969,0.0508162001888876
"7","DimtrMn",76.385986328125,0.0424904521865111,0.0207459196070851
"8","Richnss",52.1666870117188,0.0290182300020126,0.0141681209726634
"9","Fire_Frequency",4.28322076797485,0.00238258345534902,0.00116329392318243
