"","variable","relative_importance","scaled_importance","percentage"
"1","angsprR",6248.88134765625,1,0.359378556664436
"2","CHELSA_Annual_Mean_Temperature",4756.87255859375,0.761235858699397,0.273571844180602
"3","Human_Disturbance",1748.3701171875,0.279789296662395,0.100550273604689
"4","SoilMoisture",1579.88903808594,0.25282749826551,0.0908607814117391
"5","cnRatio",1036.29431152344,0.165836772034745,0.0595981797757356
"6","ForestAge",756.929382324219,0.121130381617522,0.0435316617139175
"7","Lai",695.45068359375,0.111292028909237,0.0399959687176582
"8","DimtrMn",343.371704101562,0.0549493077237496,0.0197476028994711
"9","Richnss",217.717086791992,0.0348409698759364,0.0125210974668031
"10","Fire_Frequency",4.24326038360596,0.000679043199499614,0.000244033564948972
