"","variable","relative_importance","scaled_importance","percentage"
"1","CHELSA_Annual_Mean_Temperature",2678.68530273438,1,0.350028001089289
"2","SoilMoisture",1912.3115234375,0.713899285401474,0.249884739848149
"3","Lai",747.976196289062,0.27923257559428,0.0977392202742794
"4","Human_Disturbance",631.917602539062,0.235905875876501,0.0825736621782694
"5","ForestAge",517.252319335938,0.193099323316528,0.0675901701521787
"6","DimtrMn",515.986145019531,0.19262663833367,0.0674247171724838
"7","cnRatio",365.346710205078,0.136390306779276,0.0477404264499047
"8","Richnss",277.843597412109,0.103723866752279,0.0363062577445521
"9","Fire_Frequency",5.45493650436401,0.00203642305380019,0.000712805090893824
