"","variable","relative_importance","scaled_importance","percentage"
"1","angsprR",6219.95166015625,1,0.363841342135883
"2","CHELSA_Annual_Mean_Temperature",4544.89453125,0.730696117843435,0.265857456209635
"3","Human_Disturbance",1629.95251464844,0.262052280098828,0.095345453300926
"4","SoilMoisture",1591.70703125,0.255903440768865,0.0931082513465343
"5","cnRatio",1060.44470214844,0.170490826953115,0.0620316113004778
"6","ForestAge",785.587036132812,0.126301148152826,0.0459535792572273
"7","Lai",702.968811035156,0.113018372078071,0.041120756182898
"8","DimtrMn",338.045379638672,0.0543485541542263,0.0197742508866184
"9","Richnss",217.705108642578,0.0350010933424375,0.0127348447779358
"10","Fire_Frequency",3.97386503219604,0.000638890018655904,0.000232454601864983
