"","variable","relative_importance","scaled_importance","percentage"
"1","Richnss",1035.57995605469,1,0.302229284888361
"2","CHELSA_Annual_Mean_Temperature",687.981384277344,0.664344052098487,0.200784227785562
"3","SoilMoisture",662.113952636719,0.63936536118294,0.193234935892709
"4","Lai",439.449249267578,0.424350864168688,0.128251258219461
"5","ForestAge",306.0634765625,0.295547895431009,0.0893232290863742
"6","Human_Disturbance",175.06233215332,0.169047625081762,0.0510911428405367
"7","cnRatio",119.783233642578,0.115667779143702,0.034958190175226
"8","Fire_Frequency",0.437666982412338,0.000422629831577414,0.00012773111177013
