"","variable","relative_importance","scaled_importance","percentage"
"1","CHELSA_Annual_Mean_Temperature",2580.87573242188,1,0.335533642431244
"2","SoilMoisture",1853.13439941406,0.718025426848078,0.240921686828584
"3","Lai",777.90478515625,0.301411174270785,0.101133589172555
"4","Human_Disturbance",770.237548828125,0.298440385622651,0.100136789636553
"5","DimtrMn",534.214721679688,0.206989710883284,0.0694520116384583
"6","ForestAge",497.683776855469,0.192835234414191,0.0647027085920762
"7","cnRatio",391.06494140625,0.151524126672801,0.0508414421387381
"8","Richnss",278.392944335938,0.107867628355239,0.036193218242453
"9","Fire_Frequency",8.34497928619385,0.0032333905818716,0.00108491131933826
