"","variable","relative_importance","scaled_importance","percentage"
"1","Richnss",1120.19360351562,1,0.317940575961103
"2","CHELSA_Annual_Mean_Temperature",682.862548828125,0.609593329836042,0.193814454390118
"3","SoilMoisture",673.571533203125,0.601299213894083,0.191177418390443
"4","Lai",418.074829101562,0.373216583088381,0.118660695385355
"5","ForestAge",313.172088623047,0.279569609789044,0.0888865227575495
"6","Human_Disturbance",195.849166870117,0.174835105516995,0.0555871741462935
"7","cnRatio",119.362365722656,0.106555121675439,0.0338781967570945
"8","Fire_Frequency",0.193647250533104,0.000172869448571532,5.49622120449112e-05
