"","variable","relative_importance","scaled_importance","percentage"
"1","Richnss",76.7074813842773,1,0.358574709570905
"2","CHELSA_Annual_Mean_Temperature",42.4396591186523,0.553266231047851,0.198387278113372
"3","ForestAge",28.9763889312744,0.377751796935073,0.135452240875881
"4","SoilMoisture",24.6883125305176,0.321850125763325,0.115407315370943
"5","Lai",16.7713603973389,0.218640478017004,0.0783989459053911
"6","Human_Disturbance",15.980001449585,0.208323896981193,0.0746996808567103
"7","cnRatio",8.04667663574219,0.104900806160369,0.0376147761027081
"8","Fire_Frequency",0.313409000635147,0.00408576836286775,0.00146505320408929
