"","variable","relative_importance","scaled_importance","percentage"
"1","angsprR",5936.138671875,1,0.345024743241097
"2","CHELSA_Annual_Mean_Temperature",4969.97998046875,0.837241219450644,0.288868936771821
"3","SoilMoisture",1540.59704589844,0.259528479885026,0.0895437471360834
"4","Human_Disturbance",1437.05578613281,0.242085952766144,0.0835256436954152
"5","cnRatio",1155.53076171875,0.194660338242025,0.0671626332211796
"6","ForestAge",822.281433105469,0.138521264168133,0.0477932636030424
"7","Lai",778.497192382812,0.13114538514258,0.0452484028360736
"8","DimtrMn",333.901428222656,0.0562489265630969,0.0194072714450198
"9","Richnss",227.411575317383,0.0383096803979399,0.0132177876429477
"10","Fire_Frequency",3.57124161720276,0.000601610207342872,0.000207570407319698
