"","variable","relative_importance","scaled_importance","percentage"
"1","CHELSA_Annual_Mean_Temperature",1783.21740722656,1,0.491837265517771
"2","SoilMoisture",609.569030761719,0.341836630963457,0.168127993826874
"3","cnRatio",461.762084960938,0.258948843304034,0.127360690999646
"4","ForestAge",228.37646484375,0.128069894292331,0.0629895466038899
"5","Lai",214.370330810547,0.120215476779108,0.0591264513719518
"6","Human_Disturbance",200.561019897461,0.112471434545602,0.05531764281577
"7","DimtrMn",73.698356628418,0.0413288678821507,0.0203270773661022
"8","Richnss",50.0490531921387,0.0280667141254414,0.0138042559275261
"9","Fire_Frequency",4.0210919380188,0.00225496449379821,0.00110907557046937
