"","variable","relative_importance","scaled_importance","percentage"
"1","angsprR",5765.5693359375,1,0.337948116865314
"2","CHELSA_Annual_Mean_Temperature",5050.17626953125,0.87591978784348,0.29601544282677
"3","SoilMoisture",1528.46215820312,0.265101687126722,0.0895906159422934
"4","Human_Disturbance",1484.42065429688,0.257462978555179,0.0870091287652576
"5","cnRatio",1206.77014160156,0.209306327144419,0.0707346791064517
"6","ForestAge",809.505615234375,0.140403413447589,0.0474490691760749
"7","Lai",683.473754882812,0.118544017955458,0.040061727633695
"8","DimtrMn",333.541229248047,0.0578505278167489,0.0195504769353348
"9","Richnss",192.512969970703,0.0333901057733789,0.0112841233680471
"10","Fire_Frequency",6.08411073684692,0.00105524890645646,0.000356619380761142
