"","variable","relative_importance","scaled_importance","percentage"
"1","CHELSA_Annual_Mean_Temperature",2580.68725585938,1,0.339739523949309
"2","SoilMoisture",1802.74792480469,0.698553426305958,0.237326208506345
"3","Lai",785.119812011719,0.304228964679516,0.10335860363181
"4","Human_Disturbance",671.411560058594,0.260167735758827,0.0883892626936733
"5","DimtrMn",590.521911621094,0.228823508265223,0.0777403897664376
"6","ForestAge",494.395263671875,0.191575039768715,0.065085612811593
"7","cnRatio",351.404174804688,0.136166896630669,0.0462612766389581
"8","Richnss",302.843322753906,0.117349873397603,0.0398683901236134
"9","Fire_Frequency",16.9448089599609,0.00656600636961656,0.00223073187826166
