"","variable","relative_importance","scaled_importance","percentage"
"1","CHELSA_Annual_Mean_Temperature",2421.29931640625,1,0.325395908086287
"2","SoilMoisture",1878.23278808594,0.775712765191565,0.252413759643634
"3","Lai",810.402770996094,0.334697476476767,0.108909189292346
"4","Human_Disturbance",657.778381347656,0.271663390350247,0.0883981555968178
"5","DimtrMn",523.945861816406,0.216390372832575,0.0704125418689857
"6","ForestAge",496.104766845703,0.20489196171832,0.0666710059429133
"7","cnRatio",346.082061767578,0.142932374953643,0.0465096099429703
"8","Richnss",295.691925048828,0.122121178098584,0.039737731643956
"9","Fire_Frequency",11.5492963790894,0.00476987553782946,0.00155209798209058
