"","variable","relative_importance","scaled_importance","percentage"
"1","CHELSA_Annual_Mean_Temperature",1778.64050292969,1,0.491426748742829
"2","SoilMoisture",632.244812011719,0.355465205571512,0.174685110265209
"3","cnRatio",415.850036621094,0.233802185397289,0.114896647818758
"4","ForestAge",261.047668457031,0.146768089463299,0.0721257650241456
"5","Lai",202.252502441406,0.113711850207091,0.0558810448408025
"6","Human_Disturbance",190.89990234375,0.107329110086782,0.0527443956154085
"7","DimtrMn",76.1719284057617,0.0428259270382605,0.0210458060863099
"8","Richnss",55.0844078063965,0.0309699502039137,0.0152194619374366
"9","Fire_Frequency",7.14826774597168,0.00401895027927083,0.00197501966910115
