"","variable","relative_importance","scaled_importance","percentage"
"1","Richnss",74.0116729736328,1,0.343723217229158
"2","CHELSA_Annual_Mean_Temperature",41.3196907043457,0.558286133041016,0.191895905783283
"3","ForestAge",30.9528617858887,0.41821594543493,0.143750530261428
"4","SoilMoisture",23.8158111572266,0.321784526688258,0.11060481276785
"5","Human_Disturbance",20.6179790496826,0.278577394906719,0.0957535184246549
"6","Lai",15.9918012619019,0.216071338741377,0.0742687357031973
"7","cnRatio",8.33662605285645,0.11263934076759,0.0387167565952074
"8","Fire_Frequency",0.277018636465073,0.00374290467077757,0.00128652323522171
