"","variable","relative_importance","scaled_importance","percentage"
"1","CHELSA_Annual_Mean_Temperature",1741.51171875,1,0.471531703839056
"2","SoilMoisture",633.874755859375,0.363979609803803,0.171627925573462
"3","cnRatio",491.643127441406,0.282308251014407,0.133117290608647
"4","ForestAge",265.837554931641,0.152647583171275,0.0719781749796653
"5","Human_Disturbance",223.973709106445,0.128608786662203,0.0606431203035023
"6","Lai",199.738479614258,0.114692584301198,0.0540811896932482
"7","DimtrMn",74.5220184326172,0.0427915687447149,0.0201775813201415
"8","Richnss",55.1685829162598,0.0316785596802403,0.0149374452211909
"9","Fire_Frequency",7.03785085678101,0.00404123083468686,0.00190556846108682
