"","variable","relative_importance","scaled_importance","percentage"
"1","Richnss",73.8843078613281,1,0.335700006391872
"2","CHELSA_Annual_Mean_Temperature",47.0966415405273,0.637437676602751,0.213987832109963
"3","ForestAge",29.7378883361816,0.402492615779741,0.13511677368994
"4","SoilMoisture",26.3355560302734,0.356443158129086,0.119657970462273
"5","Human_Disturbance",18.7243175506592,0.253427528695301,0.0850756230028888
"6","Lai",15.0390338897705,0.203548416776089,0.0683312048127886
"7","cnRatio",8.94996070861816,0.121134798006312,0.0406649524649971
"8","Fire_Frequency",0.322572469711304,0.00436591312889786,0.00146563706527737
