"","variable","relative_importance","scaled_importance","percentage"
"1","CHELSA_Annual_Mean_Temperature",2595.77221679688,1,0.330223040473115
"2","SoilMoisture",1943.8193359375,0.748840488914751,0.247284383078803
"3","Lai",902.386901855469,0.347637167859433,0.114797802552005
"4","Human_Disturbance",670.291809082031,0.258224433078013,0.0852716574154681
"5","DimtrMn",580.831420898438,0.223760550767883,0.0738908894125092
"6","ForestAge",490.57080078125,0.188988385655273,0.0624083193251899
"7","cnRatio",352.89599609375,0.135950294024341,0.0448939194459318
"8","Richnss",311.870391845703,0.120145515784333,0.0396748175215133
"9","Fire_Frequency",12.2246742248535,0.00470945568557571,0.00155517077546421
