"","variable","relative_importance","scaled_importance","percentage"
"1","angsprR",6119.3291015625,1,0.35204976128449
"2","CHELSA_Annual_Mean_Temperature",4862.04052734375,0.794538166954002,0.279716972007573
"3","SoilMoisture",1537.34997558594,0.25122851705972,0.0884449394587309
"4","Human_Disturbance",1529.49255371094,0.24994448383572,0.0879928958687402
"5","cnRatio",1211.05334472656,0.197906228710159,0.0696728405741253
"6","ForestAge",810.009826660156,0.1323690576559,0.0466004951492126
"7","Lai",733.853210449219,0.11992380182034,0.0422191458031791
"8","DimtrMn",357.011810302734,0.0583416587631437,0.0205391670405059
"9","Richnss",215.956832885742,0.0352909329276963,0.0124241645127024
"10","Fire_Frequency",5.90324544906616,0.000964688342641816,0.000339618300740982
