"","variable","relative_importance","scaled_importance","percentage"
"1","Richnss",1004.294921875,1,0.30234486763502
"2","CHELSA_Annual_Mean_Temperature",679.778564453125,0.676871454436901,0.204648610297648
"3","SoilMoisture",590.982788085938,0.588455418038542,0.177916475475973
"4","Lai",428.711212158203,0.426877805334122,0.129064313550073
"5","ForestAge",314.246002197266,0.312902112071397,0.0946043476569445
"6","Human_Disturbance",182.097778320312,0.181319027263764,0.0548208772977732
"7","cnRatio",121.425994873047,0.120906709999436,0.0365555232309652
"8","Fire_Frequency",0.149425595998764,0.000148786569307539,4.49848556031566e-05
