"","variable","relative_importance","scaled_importance","percentage"
"1","angsprR",6249.4912109375,1,0.361911866237848
"2","CHELSA_Annual_Mean_Temperature",5081.65234375,0.813130568910375,0.294281601689397
"3","SoilMoisture",1495.02758789062,0.239223888382164,0.0865779638930634
"4","Human_Disturbance",1418.98522949219,0.22705612050606,0.0821743043130738
"5","cnRatio",905.537780761719,0.144897840511704,0.0524402478734249
"6","ForestAge",793.187927246094,0.126920400473226,0.0459339989989202
"7","Lai",785.022399902344,0.125613809733574,0.0454611283059235
"8","DimtrMn",329.776519775391,0.0527685388529285,0.0190975603749077
"9","Richnss",205.110168457031,0.0328202987305685,0.0118780555640637
"10","Fire_Frequency",4.2008318901062,0.000672187822706934,0.000243272749378222
