"","variable","relative_importance","scaled_importance","percentage"
"1","angsprR",6377.7900390625,1,0.369786487445583
"2","CHELSA_Annual_Mean_Temperature",4765.77587890625,0.747245652446532,0.276321345077186
"3","SoilMoisture",1572.25366210938,0.246520135106311,0.0911598148455735
"4","Human_Disturbance",1485.77563476562,0.232960888593947,0.0861457887053576
"5","cnRatio",990.069213867188,0.155237034741382,0.0574045577984838
"6","ForestAge",790.696472167969,0.123976560426909,0.0458448568058517
"7","Lai",717.347412109375,0.112475858834453,0.0415920527608177
"8","DimtrMn",351.481567382812,0.055110244336999,0.0203790236756467
"9","Richnss",191.126846313477,0.0299675663737546,0.0110816011066431
"10","Fire_Frequency",4.90634822845459,0.000769286570803418,0.000284471778856454
