"","variable","relative_importance","scaled_importance","percentage"
"1","angsprR",5866.64013671875,1,0.338467111957032
"2","CHELSA_Annual_Mean_Temperature",4931.80029296875,0.840651578763298,0.284532912026133
"3","Human_Disturbance",1741.02880859375,0.296767616219855,0.100446077984307
"4","SoilMoisture",1575.41442871094,0.268537764716565,0.0908912016750129
"5","cnRatio",1187.76245117188,0.202460424278929,0.0685261950912847
"6","Lai",742.022766113281,0.126481725284125,0.0428099042722605
"7","ForestAge",718.039611816406,0.122393669133081,0.0414262317132984
"8","DimtrMn",334.665191650391,0.0570454610903697,0.0193080124655147
"9","Richnss",229.036972045898,0.0390405695096888,0.0132139488111021
"10","Fire_Frequency",6.55886507034302,0.0011179934199972,0.000378404004053417
