"","variable","relative_importance","scaled_importance","percentage"
"1","CHELSA_Annual_Mean_Temperature",2558.62915039062,1,0.332646940772993
"2","SoilMoisture",1865.29516601562,0.729021306480015,0.242506707358908
"3","Lai",816.799987792969,0.319233440949529,0.106192027524297
"4","Human_Disturbance",660.703430175781,0.258225554131169,0.0858979406111443
"5","DimtrMn",581.011169433594,0.227079086214933,0.0755371633429242
"6","ForestAge",537.5283203125,0.210084497876699,0.0698839655225143
"7","cnRatio",349.728973388672,0.13668607399993,0.0454682043623478
"8","Richnss",314.102722167969,0.122762113501292,0.0408364414990318
"9","Fire_Frequency",7.92716217041016,0.00309820677576503,0.0010306090058404
