"","variable","relative_importance","scaled_importance","percentage"
"1","CHELSA_Annual_Mean_Temperature",2691.43823242188,1,0.346014178059125
"2","SoilMoisture",1937.44201660156,0.719853791650335,0.249079618040636
"3","Lai",759.032165527344,0.282017308212321,0.0975819870995332
"4","Human_Disturbance",698.850646972656,0.25965695164544,0.0898449867009351
"5","DimtrMn",524.765808105469,0.194975980419681,0.0674644536061881
"6","ForestAge",523.041564941406,0.194335340354718,0.0672427830606782
"7","cnRatio",333.224670410156,0.123809146498713,0.0428397200619539
"8","Richnss",301.183624267578,0.111904341938607,0.0387204888971345
"9","Fire_Frequency",9.42574977874756,0.00350212375866633,0.00121178447381626
