"","variable","relative_importance","scaled_importance","percentage"
"1","angsprR",6415.93701171875,1,0.366047740975714
"2","CHELSA_Annual_Mean_Temperature",5154.0810546875,0.803324759154203,0.294055213358255
"3","SoilMoisture",1485.87829589844,0.231591783582736,0.0847736492089971
"4","Human_Disturbance",1443.27563476562,0.224951652756172,0.0823430443201498
"5","cnRatio",982.8935546875,0.153195636567541,0.0560769166928848
"6","Lai",754.997131347656,0.117675271744197,0.0430747673906666
"7","ForestAge",727.456604003906,0.113382753395989,0.0415035007462083
"8","DimtrMn",356.765472412109,0.0556061369930027,0.0203545008306747
"9","Richnss",202.107498168945,0.0315008544815503,0.0115308166217762
"10","Fire_Frequency",4.20399141311646,0.000655242002132789,0.000239849854673111
