"","variable","relative_importance","scaled_importance","percentage"
"1","Richnss",76.5680313110352,1,0.353025693883968
"2","CHELSA_Annual_Mean_Temperature",43.3345947265625,0.56596198158117,0.199799121259638
"3","ForestAge",29.68190574646,0.387654027904752,0.13685183218799
"4","SoilMoisture",25.4983673095703,0.333015840592671,0.117563148199581
"5","Human_Disturbance",17.7477550506592,0.231790667028699,0.0818280610636344
"6","Lai",15.5578689575195,0.203190139424119,0.0717313399605798
"7","cnRatio",8.23919868469238,0.107606249548497,0.0379877709131096
"8","Fire_Frequency",0.263095617294312,0.00343610267613598,0.00121303253149946
