"","variable","relative_importance","scaled_importance","percentage"
"1","angsprR",6337.64599609375,1,0.363292900936693
"2","CHELSA_Annual_Mean_Temperature",4789.01904296875,0.755646346596275,0.274520953337174
"3","Human_Disturbance",1681.76953125,0.265361860269029,0.0964040800150928
"4","SoilMoisture",1584.15393066406,0.249959358986044,0.0908084606423161
"5","cnRatio",1043.98999023438,0.164728353536604,0.059844641422838
"6","Lai",740.803955078125,0.11688945004734,0.0424651073965928
"7","ForestAge",698.936279296875,0.110283262859375,0.0400651264889463
"8","DimtrMn",343.377960205078,0.0541806785069285,0.0196834558695004
"9","Richnss",220.530426025391,0.0347968987477868,0.0126414662896838
"10","Fire_Frequency",4.77657461166382,0.000753682773478969,0.000273807601163187
