"","variable","relative_importance","scaled_importance","percentage"
"1","angsprR",6569.79150390625,1,0.381352483447106
"2","CHELSA_Annual_Mean_Temperature",4726.87890625,0.719486897482135,0.274378115162465
"3","SoilMoisture",1557.48022460938,0.237066918133297,0.0904060579732846
"4","Human_Disturbance",1423.9775390625,0.216746229802854,0.0826567130131153
"5","cnRatio",941.329040527344,0.143281417677814,0.0546407244632563
"6","ForestAge",728.056030273438,0.110818742092584,0.0422610025094913
"7","Lai",714.228820800781,0.108714077208709,0.0414583833292014
"8","DimtrMn",350.436767578125,0.0533406223576141,0.0203415788046904
"9","Richnss",211.282104492188,0.0321596361721013,0.0122641571209862
"10","Fire_Frequency",4.14813566207886,0.000631395328088033,0.000240784176403271
