"","variable","relative_importance","scaled_importance","percentage"
"1","CHELSA_Annual_Mean_Temperature",1778.93347167969,1,0.486008265680018
"2","SoilMoisture",646.575012207031,0.363462165674205,0.176645616779624
"3","cnRatio",430.667297363281,0.242092975493142,0.117659187152737
"4","ForestAge",239.345230102539,0.134544227714456,0.0653896067687601
"5","Lai",218.719985961914,0.122950064993379,0.0597547478526774
"6","Human_Disturbance",217.260360717773,0.122129559186176,0.0593559752483384
"7","DimtrMn",68.1900100708008,0.0383319619065996,0.018629650326339
"8","Richnss",53.7919502258301,0.0302383147443053,0.0146960709059663
"9","Fire_Frequency",6.81136655807495,0.00382890460296055,0.0018608792855391
