"","variable","relative_importance","scaled_importance","percentage"
"1","CHELSA_Annual_Mean_Temperature",1703.17004394531,1,0.473600134766428
"2","SoilMoisture",613.230285644531,0.360052296495312,0.170520816143142
"3","cnRatio",475.63427734375,0.279264116366188,0.132259523146454
"4","ForestAge",258.632690429688,0.151853710291062,0.0719179376586293
"5","Lai",205.151290893555,0.120452618118113,0.0570463761737075
"6","Human_Disturbance",198.982528686523,0.116830688394207,0.0553310297683512
"7","DimtrMn",72.6642761230469,0.0426641346713236,0.0202057399300319
"8","Richnss",61.1089096069336,0.0358795117517319,0.0169925416009739
"9","Fire_Frequency",7.64520597457886,0.00448880955941962,0.00212590081228196
