"","variable","relative_importance","scaled_importance","percentage"
"1","angsprR",6381.03662109375,1,0.372074180465392
"2","CHELSA_Annual_Mean_Temperature",4631.25341796875,0.725783864436579,0.270045436555245
"3","SoilMoisture",1555.00085449219,0.243690946601346,0.0906711092435312
"4","Human_Disturbance",1491.4619140625,0.233733482915955,0.0869661941032756
"5","cnRatio",1034.86584472656,0.162178327155436,0.0603423681656072
"6","ForestAge",772.266174316406,0.121025190760312,0.0450303486678107
"7","Lai",727.3798828125,0.113990864808393,0.0424130576041239
"8","DimtrMn",326.153289794922,0.0511129004834041,0.0190177905585717
"9","Richnss",223.466735839844,0.0350204440296003,0.0130302030118477
"10","Fire_Frequency",7.01965522766113,0.00110008069918551,0.000409311624595242
