"","variable","relative_importance","scaled_importance","percentage"
"1","angsprR",6603.98291015625,1,0.379677130544818
"2","CHELSA_Annual_Mean_Temperature",4692.65576171875,0.710579634375178,0.269790836603153
"3","SoilMoisture",1549.44702148438,0.234623111925605,0.0890810298954095
"4","Human_Disturbance",1494.19348144531,0.226256412497282,0.0859043854643326
"5","cnRatio",969.090637207031,0.146743359331937,0.0557150975976571
"6","Lai",791.05517578125,0.119784558279927,0.045479457371301
"7","ForestAge",730.33642578125,0.110590296146598,0.0419886063070419
"8","DimtrMn",344.926239013672,0.0522300320437248,0.0198305486946253
"9","Richnss",214.593688964844,0.0324945857498845,0.0123374510757587
"10","Fire_Frequency",3.39970707893372,0.00051479646831086,0.000195456445902874
