"","variable","relative_importance","scaled_importance","percentage"
"1","angsprR",1808.96948242188,1,0.378372600609238
"2","Richnss",908.658874511719,0.502307464742408,0.190059381740018
"3","CHELSA_Annual_Mean_Temperature",649.708068847656,0.359159220296971,0.135896008216551
"4","Lai",461.84033203125,0.255305761937416,0.096600705094783
"5","SoilMoisture",387.996276855469,0.214484700060287,0.0811551337527032
"6","ForestAge",239.144149780273,0.132199106786536,0.0500205198330398
"7","Human_Disturbance",230.820938110352,0.127598027691061,0.0482795975700764
"8","cnRatio",93.0423126220703,0.0514338763180813,0.0194611695418863
"9","Fire_Frequency",0.740486443042755,0.000409341589362459,0.000154883641704592
