"","variable","relative_importance","scaled_importance","percentage"
"1","CHELSA_Annual_Mean_Temperature",2586.42163085938,1,0.336509981740354
"2","SoilMoisture",1952.8369140625,0.755034249158225,0.254076561397577
"3","Lai",807.293823242188,0.312127695504137,0.105034085114756
"4","Human_Disturbance",709.314819335938,0.274245626031305,0.0922863906081664
"5","DimtrMn",537.533020019531,0.207828844920744,0.0699364808093986
"6","ForestAge",479.321472167969,0.185322248487656,0.0623627864546624
"7","cnRatio",341.271789550781,0.131947469615536,0.0444016405910098
"8","Richnss",267.193939208984,0.10330641223419,0.0347636388945888
"9","Fire_Frequency",4.83015775680542,0.00186750593916141,0.000628434389487209
