"","variable","relative_importance","scaled_importance","percentage"
"1","angsprR",2125.75024414062,1,0.427907633284844
"2","Richnss",805.948181152344,0.379135876086028,0.162235135429348
"3","CHELSA_Annual_Mean_Temperature",607.971984863281,0.286003488198617,0.12238307574628
"4","Lai",482.862518310547,0.227149223969984,0.0971988868314849
"5","SoilMoisture",366.905487060547,0.172600468033287,0.0738570577799805
"6","ForestAge",252.623596191406,0.11883973523594,0.0508524298450085
"7","Human_Disturbance",232.292465209961,0.109275520889741,0.0467598295198977
"8","cnRatio",92.5628433227539,0.0435436117567867,0.0186326438515207
"9","Fire_Frequency",0.860954284667969,0.000405011965559494,0.000173307711634606
