"","variable","relative_importance","scaled_importance","percentage"
"1","angsprR",6368.62451171875,1,0.365715093376533
"2","CHELSA_Annual_Mean_Temperature",5004.5234375,0.785809153654969,0.287382268005061
"3","SoilMoisture",1599.22888183594,0.251110562240439,0.0918349227175959
"4","Human_Disturbance",1485.38647460938,0.233235052855786,0.0852975791338342
"5","cnRatio",977.149597167969,0.153431811746781,0.0561123293599048
"6","ForestAge",726.208435058594,0.114029086456945,0.0417021580012422
"7","Lai",699.344299316406,0.109810885856053,0.0401594983746061
"8","DimtrMn",340.608306884766,0.0534822403578702,0.0195592625264647
"9","Richnss",207.648635864258,0.0326049424773228,0.0119241195826306
"10","Fire_Frequency",5.44661092758179,0.00085522563271859,0.000312768922127683
