"","variable","relative_importance","scaled_importance","percentage"
"1","angsprR",6035.9501953125,1,0.353431663393024
"2","CHELSA_Annual_Mean_Temperature",4795.33203125,0.794461828888853,0.280787965686452
"3","Human_Disturbance",1570.4521484375,0.260183085946784,0.0919569408529021
"4","SoilMoisture",1510.68713378906,0.250281577035254,0.0884574340881992
"5","cnRatio",1056.75122070312,0.175076199522619,0.0618774724178084
"6","ForestAge",780.802062988281,0.129358599346073,0.0457194249410744
"7","Lai",722.377380371094,0.119679148600678,0.0422984005633984
"8","DimtrMn",377.129608154297,0.0624805699104632,0.0220826117531992
"9","Richnss",223.310317993164,0.0369967131548876,0.0130758098704065
"10","Fire_Frequency",5.33309602737427,0.000883555340054981,0.000312276433535421
