"","variable","relative_importance","scaled_importance","percentage"
"1","CHELSA_Annual_Mean_Temperature",2579.7158203125,1,0.336572415547139
"2","SoilMoisture",1913.16735839844,0.741619423090828,0.249608640646355
"3","Lai",813.276794433594,0.315258288540897,0.106107243695466
"4","Human_Disturbance",639.482360839844,0.247888684406478,0.0834324932974906
"5","ForestAge",525.752807617188,0.2038026062706,0.0685943354872984
"6","DimtrMn",507.177215576172,0.196601971264701,0.0661708003698895
"7","cnRatio",362.032562255859,0.140338156398949,0.0472339522926265
"8","Richnss",305.634552001953,0.118476054453521,0.0398757718319159
"9","Fire_Frequency",18.4285202026367,0.00714362413779528,0.0024043468318186
