"","variable","relative_importance","scaled_importance","percentage"
"1","CHELSA_Annual_Mean_Temperature",1765.49597167969,1,0.483475451810803
"2","SoilMoisture",661.028015136719,0.374414909883832,0.181020417720787
"3","cnRatio",402.857482910156,0.228183745175515,0.110321239294613
"4","ForestAge",243.223648071289,0.137765054111048,0.0666060217800785
"5","Human_Disturbance",239.981948852539,0.135928913292405,0.0657182927681971
"6","Lai",198.067657470703,0.112188110677059,0.0542401974973916
"7","DimtrMn",75.6102294921875,0.0428266224930846,0.0207056206593747
"8","Richnss",60.2317886352539,0.0341160725379337,0.0164942835842876
"9","Fire_Frequency",5.17981147766113,0.00293391294047138,0.00141847488446796
