"","variable","relative_importance","scaled_importance","percentage"
"1","angsprR",6540.06103515625,1,0.378884952696517
"2","CHELSA_Annual_Mean_Temperature",4467.69970703125,0.68312813642182,0.258826971653841
"3","Human_Disturbance",1649.52172851562,0.252218093936522,0.0955616405903446
"4","SoilMoisture",1468.76318359375,0.224579430635032,0.0850897669527648
"5","cnRatio",1116.44665527344,0.170708904591555,0.0646790352410456
"6","Lai",739.336669921875,0.113047365452333,0.0428319457118732
"7","ForestAge",729.2900390625,0.111511197700172,0.0422499148657616
"8","DimtrMn",337.725555419922,0.0516395112529486,0.0195654337783447
"9","Richnss",208.598205566406,0.0318954524193401,0.0120847069811357
"10","Fire_Frequency",3.89470195770264,0.000595514619323363,0.000225631528372417
