"","variable","relative_importance","scaled_importance","percentage"
"1","CHELSA_Annual_Mean_Temperature",1692.78845214844,1,0.466958305972414
"2","SoilMoisture",645.339050292969,0.381228410126453,0.178017772581206
"3","cnRatio",476.141479492188,0.281276422277032,0.131344361656464
"4","ForestAge",247.998611450195,0.146503014677022,0.0684107995534338
"5","Lai",225.185562133789,0.133026404952131,0.0621177847060475
"6","Human_Disturbance",218.65495300293,0.129168504620539,0.0603163061025966
"7","DimtrMn",69.6480484008789,0.0411439765627439,0.0192125215967076
"8","Richnss",43.6479263305664,0.0257846314317479,0.012040347813492
"9","Fire_Frequency",5.73424386978149,0.00338745450590932,0.00158180001763804
