"","variable","relative_importance","scaled_importance","percentage"
"1","angsprR",6158.00732421875,1,0.361219711989422
"2","CHELSA_Annual_Mean_Temperature",4407.39013671875,0.715716936448741,0.258531065649966
"3","Human_Disturbance",1716.01647949219,0.278664247887996,0.100659019363851
"4","SoilMoisture",1500.83081054688,0.243720205502887,0.0880365424377555
"5","cnRatio",1158.82653808594,0.188182065573128,0.0679750715279
"6","Lai",781.323181152344,0.126879222452284,0.0458312761916558
"7","ForestAge",733.613891601562,0.119131701697778,0.0430327189760813
"8","DimtrMn",365.686462402344,0.059383895333177,0.0214506335690602
"9","Richnss",221.851287841797,0.0360264735264735,0.0130134723912273
"10","Fire_Frequency",4.27027177810669,0.000693450259682575,0.00025048790308153
