"","variable","relative_importance","scaled_importance","percentage"
"1","Richnss",1159.29663085938,1,0.338605564732194
"2","CHELSA_Annual_Mean_Temperature",669.73681640625,0.577709620280515,0.195615692226305
"3","SoilMoisture",582.694458007812,0.50262757822031,0.170192494973263
"4","Lai",416.4638671875,0.359238400338298,0.121640121420039
"5","ForestAge",327.355285644531,0.282374050722347,0.0956134249105574
"6","Human_Disturbance",158.276626586914,0.136528151961923,0.0462291919969097
"7","cnRatio",109.770202636719,0.0946868986890329,0.03206151080334
"8","Fire_Frequency",0.143793344497681,0.000124034988690589,4.19989373921282e-05
