"","variable","relative_importance","scaled_importance","percentage"
"1","angsprR",6141.5341796875,1,0.353143039181528
"2","CHELSA_Annual_Mean_Temperature",5239.1865234375,0.853074552734002,0.301257340200908
"3","SoilMoisture",1491.404296875,0.242839045300386,0.085756918489319
"4","Human_Disturbance",1418.63110351562,0.230989694432965,0.0815724027116698
"5","cnRatio",1077.90026855469,0.17550993563135,0.0619801120754093
"6","ForestAge",740.859191894531,0.120630964547075,0.0425999854395532
"7","Lai",723.555236816406,0.117813434827,0.0416049944312217
"8","DimtrMn",345.023315429688,0.0561786852169311,0.0198391116347295
"9","Richnss",204.080520629883,0.033229566857229,0.0117347902306476
"10","Fire_Frequency",8.89214992523193,0.00144787111250505,0.000511305605013174
