"","variable","relative_importance","scaled_importance","percentage"
"1","angsprR",5926.15576171875,1,0.348555608393683
"2","CHELSA_Annual_Mean_Temperature",4671.9248046875,0.788356734540591,0.274786161239053
"3","Human_Disturbance",1749.83215332031,0.295272723782207,0.102918963879967
"4","SoilMoisture",1518.9091796875,0.256305983298518,0.0893368879435559
"5","cnRatio",1055.79638671875,0.178158730409836,0.0620982246686467
"6","ForestAge",819.511474609375,0.138287197900396,0.0482007783972303
"7","Lai",694.950866699219,0.117268410524813,0.0408745621758363
"8","DimtrMn",347.081878662109,0.05856779548458,0.0204141335874046
"9","Richnss",214.042465209961,0.0361182651648499,0.0125892238886586
"10","Fire_Frequency",3.8332085609436,0.000646828857537802,0.000225455825965679
