"","variable","relative_importance","scaled_importance","percentage"
"1","angsprR",6097.5869140625,1,0.352924660411433
"2","CHELSA_Annual_Mean_Temperature",4981.6005859375,0.816979020741588,0.28833204345849
"3","Human_Disturbance",1619.80529785156,0.265646938810483,0.0937533556690265
"4","SoilMoisture",1536.60656738281,0.252002405056175,0.0889378632273151
"5","cnRatio",1014.09490966797,0.16631085771475,0.0586952029817122
"6","ForestAge",747.08935546875,0.122522133099207,0.0432410822169221
"7","Lai",716.449829101562,0.117497272150276,0.0414676848729059
"8","DimtrMn",344.576873779297,0.0565103669100017,0.0199439020514378
"9","Richnss",213.064788818359,0.0349424767241908,0.0123320617318194
"10","Fire_Frequency",6.42963457107544,0.00105445558410117,0.000372143378937846
