"","variable","relative_importance","scaled_importance","percentage"
"1","angsprR",6392.39990234375,1,0.369691458209219
"2","CHELSA_Annual_Mean_Temperature",4541.25,0.71041393989368,0.262633965371451
"3","Human_Disturbance",1582.19946289062,0.247512591055281,0.0915032907123687
"4","SoilMoisture",1470.01062011719,0.229962243065897,0.0850150769720941
"5","cnRatio",1177.57458496094,0.184214786770331,0.0681026331448239
"6","ForestAge",803.348510742188,0.125672442746838,0.0464600286157931
"7","Lai",772.965698242188,0.120919484082775,0.0447029003964675
"8","DimtrMn",329.646881103516,0.0515685636286071,0.0190644574856146
"9","Richnss",214.665664672852,0.0335813885164076,0.012414752489321
"10","Fire_Frequency",7.11422252655029,0.00111291887792281,0.000411436602847851
