"","variable","relative_importance","scaled_importance","percentage"
"1","CHELSA_Annual_Mean_Temperature",1780.61291503906,1,0.492592562194894
"2","SoilMoisture",664.059936523438,0.372938964395229,0.183706960013756
"3","cnRatio",380.708648681641,0.213807642001344,0.10532005419029
"4","ForestAge",238.171600341797,0.133758212315658,0.0658883005191784
"5","Human_Disturbance",214.157684326172,0.120271892064466,0.0592450394720629
"6","Lai",202.286224365234,0.11360482823455,0.0559608934177679
"7","DimtrMn",76.568962097168,0.043001463962474,0.0211822013114065
"8","Richnss",52.6420135498047,0.029563985021781,0.0145629991305706
"9","Fire_Frequency",5.57033634185791,0.00312832524958728,0.00154098975007318
