"","variable","relative_importance","scaled_importance","percentage"
"1","Richnss",69.7621841430664,1,0.329990315739191
"2","CHELSA_Annual_Mean_Temperature",42.801570892334,0.613535419197278,0.202460746698087
"3","ForestAge",29.9979286193848,0.430002715480723,0.141896731850193
"4","SoilMoisture",24.1089458465576,0.34558760082849,0.114040561512943
"5","Human_Disturbance",19.2299289703369,0.275649755043516,0.0909617497002404
"6","Lai",16.7594337463379,0.240236654746475,0.0792757695519163
"7","cnRatio",8.60170745849609,0.123300432234976,0.0406879485639985
"8","Fire_Frequency",0.145062327384949,0.00207938339613133,0.000686176383432208
