"","variable","relative_importance","scaled_importance","percentage"
"1","angsprR",6286.15869140625,1,0.363474172089473
"2","CHELSA_Annual_Mean_Temperature",4893.59228515625,0.778471006760653,0.282954104677986
"3","SoilMoisture",1596.70520019531,0.254003323584267,0.0923236477477658
"4","Human_Disturbance",1465.63159179688,0.233152178261189,0.084744794964343
"5","cnRatio",1011.76055908203,0.160950527778626,0.0585013598316996
"6","ForestAge",767.349731445312,0.122069735925431,0.0443691962026765
"7","Lai",691.013549804688,0.109926201950543,0.039955335244914
"8","DimtrMn",355.93994140625,0.0566228055764568,0.0205809273782858
"9","Richnss",219.469024658203,0.0349130582653342,0.0126899949481039
"10","Fire_Frequency",7.02970314025879,0.00111828279961641,0.000406466914752471
