"","variable","relative_importance","scaled_importance","percentage"
"1","angsprR",6490.71142578125,1,0.373603847354465
"2","CHELSA_Annual_Mean_Temperature",4721.46875,0.72741929817527,0.271766648438165
"3","Human_Disturbance",1604.60668945312,0.247215841868981,0.0923607896492242
"4","SoilMoisture",1541.96081542969,0.237564222822322,0.0887549076401928
"5","cnRatio",1012.25677490234,0.155954672531217,0.0582652656705683
"6","ForestAge",724.91796875,0.111685441116764,0.0417261104947036
"7","Lai",703.197265625,0.108339012397298,0.0404758718502136
"8","DimtrMn",346.383178710938,0.0533659803970172,0.0199377355941685
"9","Richnss",219.751205444336,0.0338562587409878,0.0126488285226613
"10","Fire_Frequency",7.99160242080688,0.00123123674687863,0.000459994785638053
