"","variable","relative_importance","scaled_importance","percentage"
"1","angsprR",1963.39575195312,1,0.399436050522548
"2","Richnss",848.779235839844,0.432301656451841,0.172676866287479
"3","CHELSA_Annual_Mean_Temperature",647.635375976562,0.329854730169562,0.131755870665111
"4","Lai",498.782562255859,0.25404076674796,0.101473040541525
"5","SoilMoisture",416.872039794922,0.212321962793406,0.0848090462573933
"6","ForestAge",227.761795043945,0.116004017436309,0.046336186569508
"7","Human_Disturbance",221.081680297852,0.112601690249114,0.0449771744352693
"8","cnRatio",90.7908020019531,0.0462417227457263,0.0184706111029116
"9","Fire_Frequency",0.320257365703583,0.000163114015798904,6.51536182555867e-05
