"","variable","relative_importance","scaled_importance","percentage"
"1","Richnss",1000.17364501953,1,0.303039484378983
"2","CHELSA_Annual_Mean_Temperature",657.137023925781,0.657022935165372,0.19910389149768
"3","SoilMoisture",587.97216796875,0.587870087255967,0.178147848123876
"4","Lai",454.841613769531,0.454762646500898,0.137811037910454
"5","ForestAge",330.793609619141,0.330736178928891,0.100226121128086
"6","Human_Disturbance",160.493927001953,0.160466062869332,0.0486275529522478
"7","cnRatio",108.77326965332,0.108754384996014,0.0329568727531453
"8","Fire_Frequency",0.287772387266159,0.000287722425699929,8.71912555283766e-05
