"","variable","relative_importance","scaled_importance","percentage"
"1","Richnss",957.476257324219,1,0.290952907355454
"2","CHELSA_Annual_Mean_Temperature",678.68115234375,0.708822957386333,0.206234100251845
"3","SoilMoisture",614.77783203125,0.642081542313456,0.186815491495374
"4","Lai",440.252075195312,0.45980469158123,0.133781511831237
"5","ForestAge",335.558776855469,0.350461720892409,0.101967856610442
"6","Human_Disturbance",148.167083740234,0.154747527791765,0.0450242431170829
"7","cnRatio",115.727409362793,0.12086713219,0.0351666435143966
"8","Fire_Frequency",0.188386216759682,0.000196752885848208,5.7245824168112e-05
