"","variable","relative_importance","scaled_importance","percentage"
"1","CHELSA_Annual_Mean_Temperature",1834.40185546875,1,0.494731534491906
"2","SoilMoisture",587.063293457031,0.320029818824522,0.158328843350222
"3","cnRatio",497.222869873047,0.271054495715166,0.134099206596094
"4","ForestAge",243.495590209961,0.132738412515255,0.0656698785096919
"5","Lai",218.344680786133,0.119027725650844,0.0588867693583234
"6","Human_Disturbance",200.061782836914,0.109061044743542,0.053955938019263
"7","DimtrMn",69.1486663818359,0.0376954843213273,0.0186491448017058
"8","Richnss",52.2151412963867,0.0284643962503211,0.014082234435307
"9","Fire_Frequency",5.91943597793579,0.00322690252426897,0.00159645043748739
