"","variable","relative_importance","scaled_importance","percentage"
"1","angsprR",6486.818359375,1,0.370806468370985
"2","CHELSA_Annual_Mean_Temperature",4620.90087890625,0.712352438885227,0.264144892098489
"3","Human_Disturbance",1725.32763671875,0.265974402416439,0.0986250288371228
"4","SoilMoisture",1500.60693359375,0.231331733133087,0.0857793029852193
"5","cnRatio",1063.39233398438,0.163931264153176,0.0607867731162302
"6","Lai",791.459777832031,0.122010473237343,0.0452422726854119
"7","ForestAge",746.186706542969,0.115031231831018,0.0426543248276238
"8","DimtrMn",349.597442626953,0.0538935150113617,0.0199840639694617
"9","Richnss",204.680404663086,0.0315532813351054,0.0117001608173865
"10","Fire_Frequency",4.84075260162354,0.000746244512092356,0.000276712292070195
