"","variable","relative_importance","scaled_importance","percentage"
"1","Richnss",1085.92590332031,1,0.322885574636367
"2","CHELSA_Annual_Mean_Temperature",660.692016601562,0.608413534092372,0.196447953571958
"3","SoilMoisture",592.783325195312,0.54587824397855,0.176256210488505
"4","Lai",419.78369140625,0.386567527418514,0.124817078226287
"5","ForestAge",322.169097900391,0.296676869863156,0.0957926816070838
"6","Human_Disturbance",161.063995361328,0.148319507683592,0.0478902294681995
"7","cnRatio",120.494445800781,0.110960099056813,0.0358274153456673
"8","Fire_Frequency",0.278662770986557,0.000256613061843834,8.2856655932644e-05
