Model,N Feats,Accuracy,Precision,Recall,F1,F2,AUC,AUC_PR,Specificity,TN,FP,FN,TP,Threshold,policy_status,source,feature_reduction_pct
"Baseline RF (540, val-tuned)",541,0.7110833333333333,0.09556676400318556,0.8571428571428571,0.1719608311440172,0.33045713236644025,0.8824629903774982,0.46072328673312624,0.7057858376511226,8173,3407,60,360,0.29000000000000004,Best recall with accuracy >= 0.70,All 541 (RF),0.0
Merged unique,160,0.70625,0.09219858156028368,0.8357142857142857,0.1660752306600426,0.31984691088026246,0.8654537790936754,0.38235513554577466,0.7015544041450777,8124,3456,69,351,0.34,Best recall with accuracy >= 0.70,Merged,70.4
Merged pruned (r<0.82),68,0.7075,0.09277807063784924,0.8380952380952381,0.167062173706692,0.3215199123127512,0.8593959207171642,0.3409567228222745,0.7027633851468048,8138,3442,68,352,0.34,Best recall with accuracy >= 0.70,Merged pruned,87.4
